s,left,right
0.71,1.688771240791753,1.2322999169767679
0.72,1.6891530464950684,1.2312095153663791
0.73,1.6895492510603003,1.2299743747444565
0.74,1.689963363945153,1.2287404392696972
0.75,1.690395006273401,1.2276177043694148
0.76,1.690831147212156,1.2265991946037618
0.77,1.6912561869994571,1.2256541840673112
0.78,1.6916545258733444,1.2247519468546355
0.79,1.69201516774414,1.2238622239830959
0.8,1.6923714208682579,1.2229592499933943
0.81,1.692781334553085,1.2220197687622196
0.82,1.6933032277438411,1.2210205515140033
0.83,1.6939941264480964,1.2199396219914174
0.84,1.6948511358545844,1.2188130515301867
0.85,1.6957874224010003,1.2177582261502538
0.86,1.6967098842670771,1.2168986041732142
0.87,1.697525419923591,1.2163576432907925
0.88,1.6981681291420154,1.2161999323411743
0.89,1.6986738093360327,1.216269966878368
0.9,1.6991020200923805,1.2163608165374225
0.91,1.6995123209977954,1.2162655509533853
0.92,1.6999603505947605,1.215794665933396
0.93,1.700457302704999,1.214956181541481
0.94,1.7009862281471984,1.2138831928936828
0.95,1.7015297319801312,1.21271077618264
0.96,1.702070572538415,1.2115730741965778
0.97,1.7026012971928035,1.2105446173982164
0.98,1.7031299771752597,1.2096054005417147
0.99,1.7036660609694827,1.2087270313268088
1.0,1.7042189970591723,1.2078811174532342
1.01,1.7047935215574743,1.207040304689103
1.02,1.7053741080006064,1.2061817023607468
1.03,1.705939784919266,1.205283619251963
1.04,1.706469580773281,1.2043243641621582
1.05,1.7069464207771605,1.2032878611817774
1.06,1.7074057223564556,1.2022336765872503
1.07,1.7079205298819566,1.201275597735301
1.08,1.7085647077275827,1.2005285936213765
1.09,1.7094114325663543,1.2001065280102328
1.1,1.7104699120933153,1.2000204576500277
1.11,1.711634317681317,1.2000965599699225
1.12,1.7127868033457025,1.2001416988394182
1.13,1.7138095231018182,1.1999627381280158
1.14,1.7146104637871264,1.1994092702703407
1.15,1.7152254394106137,1.1985423191736626
1.16,1.715729730617108,1.1974881882068626
1.17,1.7161986294313383,1.1963731995616527
1.18,1.7167043240140314,1.1953186957700423
1.19,1.7172687571145409,1.194365408535063
1.2,1.7178731505434333,1.193488739243152
1.21,1.718497553558916,1.1926622081056288
1.22,1.7191220648403405,1.1918593475149233
1.23,1.7197340217480246,1.1910554740222454
1.24,1.7203355539340184,1.1902295501189029
1.25,1.72093059767193,1.1893609835844707
1.26,1.7215230892353668,1.188429182198526
1.27,1.7221169298553485,1.1874283676441793
1.28,1.7227158208987239,1.18643725218229
1.29,1.7233233929822471,1.1855644569681927
1.3,1.7239432766403697,1.18491863795014
1.31,1.724578527864374,1.1846010622727412
1.32,1.7252208707750312,1.1845672657050836
1.33,1.725851654246479,1.1846393551210381
1.34,1.7264518444011174,1.1846345150882038
1.35,1.7270025032338794,1.184370249051896
